2022-Dec-23 17:42:15.272658, Inquiry ID: INQUIRY0, Side: bid, Price: 99-045, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.280636, Inquiry ID: INQUIRY1, Side: offer, Price: 99-293, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.281636, Inquiry ID: INQUIRY2, Side: bid, Price: 99-090, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.283629, Inquiry ID: INQUIRY3, Side: offer, Price: 99-180, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.284627, Inquiry ID: INQUIRY4, Side: bid, Price: 99-161, Quantity: 5000000, State: DONE
2022-Dec-23 17:42:15.285625, Inquiry ID: INQUIRY5, Side: offer, Price: 100-31+, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.287618, Inquiry ID: INQUIRY6, Side: bid, Price: 100-166, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.289614, Inquiry ID: INQUIRY7, Side: offer, Price: 100-031, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.291610, Inquiry ID: INQUIRY8, Side: bid, Price: 99-222, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.293605, Inquiry ID: INQUIRY9, Side: offer, Price: 100-02+, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.295600, Inquiry ID: INQUIRY10, Side: bid, Price: 99-316, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.297593, Inquiry ID: INQUIRY11, Side: offer, Price: 100-125, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.298589, Inquiry ID: INQUIRY12, Side: bid, Price: 100-26+, Quantity: 5000000, State: DONE
2022-Dec-23 17:42:15.299586, Inquiry ID: INQUIRY13, Side: offer, Price: 99-31+, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.301621, Inquiry ID: INQUIRY14, Side: bid, Price: 100-292, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.302580, Inquiry ID: INQUIRY15, Side: offer, Price: 100-176, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.303576, Inquiry ID: INQUIRY16, Side: bid, Price: 99-267, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.304572, Inquiry ID: INQUIRY17, Side: offer, Price: 100-307, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.305569, Inquiry ID: INQUIRY18, Side: bid, Price: 100-276, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.306604, Inquiry ID: INQUIRY19, Side: offer, Price: 99-106, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.307602, Inquiry ID: INQUIRY20, Side: bid, Price: 99-175, Quantity: 5000000, State: DONE
2022-Dec-23 17:42:15.308562, Inquiry ID: INQUIRY21, Side: offer, Price: 100-171, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.309594, Inquiry ID: INQUIRY22, Side: bid, Price: 99-007, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.311554, Inquiry ID: INQUIRY23, Side: offer, Price: 100-077, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.312588, Inquiry ID: INQUIRY24, Side: bid, Price: 100-071, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.314552, Inquiry ID: INQUIRY25, Side: offer, Price: 100-07+, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.316543, Inquiry ID: INQUIRY26, Side: bid, Price: 99-261, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.317538, Inquiry ID: INQUIRY27, Side: offer, Price: 100-010, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.318535, Inquiry ID: INQUIRY28, Side: bid, Price: 100-217, Quantity: 5000000, State: DONE
2022-Dec-23 17:42:15.319532, Inquiry ID: INQUIRY29, Side: offer, Price: 100-250, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.320530, Inquiry ID: INQUIRY30, Side: bid, Price: 99-087, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.321563, Inquiry ID: INQUIRY31, Side: offer, Price: 100-163, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.322560, Inquiry ID: INQUIRY32, Side: bid, Price: 100-246, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.323522, Inquiry ID: INQUIRY33, Side: offer, Price: 100-071, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.324519, Inquiry ID: INQUIRY34, Side: bid, Price: 100-301, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.325517, Inquiry ID: INQUIRY35, Side: offer, Price: 99-053, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.327511, Inquiry ID: INQUIRY36, Side: bid, Price: 99-032, Quantity: 5000000, State: DONE
2022-Dec-23 17:42:15.328510, Inquiry ID: INQUIRY37, Side: offer, Price: 100-100, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.329507, Inquiry ID: INQUIRY38, Side: bid, Price: 100-051, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.331503, Inquiry ID: INQUIRY39, Side: offer, Price: 100-262, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.332499, Inquiry ID: INQUIRY40, Side: bid, Price: 99-017, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.333496, Inquiry ID: INQUIRY41, Side: offer, Price: 99-080, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.334528, Inquiry ID: INQUIRY42, Side: bid, Price: 99-24+, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.335534, Inquiry ID: INQUIRY43, Side: offer, Price: 99-031, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.336522, Inquiry ID: INQUIRY44, Side: bid, Price: 100-137, Quantity: 5000000, State: DONE
2022-Dec-23 17:42:15.337520, Inquiry ID: INQUIRY45, Side: offer, Price: 100-267, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.338517, Inquiry ID: INQUIRY46, Side: bid, Price: 100-032, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.339514, Inquiry ID: INQUIRY47, Side: offer, Price: 99-026, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.340512, Inquiry ID: INQUIRY48, Side: bid, Price: 99-156, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.341509, Inquiry ID: INQUIRY49, Side: offer, Price: 100-027, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.342507, Inquiry ID: INQUIRY50, Side: bid, Price: 100-155, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.344506, Inquiry ID: INQUIRY51, Side: offer, Price: 100-12+, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.345464, Inquiry ID: INQUIRY52, Side: bid, Price: 99-193, Quantity: 5000000, State: DONE
2022-Dec-23 17:42:15.346462, Inquiry ID: INQUIRY53, Side: offer, Price: 100-071, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.347494, Inquiry ID: INQUIRY54, Side: bid, Price: 99-206, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.348490, Inquiry ID: INQUIRY55, Side: offer, Price: 100-040, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.349492, Inquiry ID: INQUIRY56, Side: bid, Price: 100-202, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.350486, Inquiry ID: INQUIRY57, Side: offer, Price: 100-027, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.351482, Inquiry ID: INQUIRY58, Side: bid, Price: 99-107, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.352483, Inquiry ID: INQUIRY59, Side: offer, Price: 99-303, Quantity: 4000000, State: DONE
