2022-Dec-24 00:33:55.525685, CUSIP: 91282CFX4, Side: bid, Order ID: 0, Order type: MARKET, Price: 99-001, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.535661, CUSIP: 91282CFX4, Side: offer, Order ID: 1, Order type: MARKET, Price: 99-005, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.547627, CUSIP: 91282CFX4, Side: bid, Order ID: 2, Order type: MARKET, Price: 99-015, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.557599, CUSIP: 91282CFX4, Side: offer, Order ID: 3, Order type: MARKET, Price: 99-021, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.567573, CUSIP: 91282CFX4, Side: bid, Order ID: 4, Order type: MARKET, Price: 99-031, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.577546, CUSIP: 91282CFX4, Side: offer, Order ID: 5, Order type: MARKET, Price: 99-035, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.587520, CUSIP: 91282CFX4, Side: bid, Order ID: 6, Order type: MARKET, Price: 99-045, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.597521, CUSIP: 91282CFX4, Side: offer, Order ID: 7, Order type: MARKET, Price: 99-051, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.607466, CUSIP: 91282CFX4, Side: bid, Order ID: 8, Order type: MARKET, Price: 99-061, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.617440, CUSIP: 91282CFX4, Side: offer, Order ID: 9, Order type: MARKET, Price: 99-065, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.627414, CUSIP: 91282CFX4, Side: bid, Order ID: 10, Order type: MARKET, Price: 99-075, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
