2022-Dec-23 17:23:04.787329, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: -1000000
2022-Dec-23 17:23:04.790352, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: 1000000
2022-Dec-23 17:23:04.793313, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: 4000000
2022-Dec-23 17:23:04.796332, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: 8000000
2022-Dec-23 17:23:04.798299, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: 3000000
2022-Dec-23 17:23:04.800321, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: -1000000
2022-Dec-23 17:23:04.803323, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: 2000000
2022-Dec-23 17:23:04.805326, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: 4000000
2022-Dec-23 17:23:04.807311, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: 5000000
2022-Dec-23 17:23:04.811263, CUSIP: 91282CFX4, PV01: 0.018800, Quantity: 7000000
2022-Dec-23 17:23:04.813258, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: -3000000
2022-Dec-23 17:23:04.816250, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: -7000000
2022-Dec-23 17:23:04.819242, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: -2000000
2022-Dec-23 17:23:04.821236, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: 2000000
2022-Dec-23 17:23:04.823231, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: -1000000
2022-Dec-23 17:23:04.826224, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: 1000000
2022-Dec-23 17:23:04.828218, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: 2000000
2022-Dec-23 17:23:04.831209, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: 4000000
2022-Dec-23 17:23:04.833204, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: 1000000
2022-Dec-23 17:23:04.835936, CUSIP: 91282CGA3, PV01: 0.027600, Quantity: -3000000
2022-Dec-23 17:23:04.837931, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -5000000
2022-Dec-23 17:23:04.840924, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -9000000
2022-Dec-23 17:23:04.844913, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -12000000
2022-Dec-23 17:23:04.846907, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -14000000
2022-Dec-23 17:23:04.849899, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -15000000
2022-Dec-23 17:23:04.852921, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -13000000
2022-Dec-23 17:23:04.854886, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -10000000
2022-Dec-23 17:23:04.856909, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -6000000
2022-Dec-23 17:23:04.859918, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -11000000
2022-Dec-23 17:23:04.861869, CUSIP: 91282CFZ9, PV01: 0.045200, Quantity: -15000000
2022-Dec-23 17:23:04.863894, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -3000000
2022-Dec-23 17:23:04.866888, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -5000000
2022-Dec-23 17:23:04.868848, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -4000000
2022-Dec-23 17:23:04.870878, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -2000000
2022-Dec-23 17:23:04.873835, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -5000000
2022-Dec-23 17:23:04.876828, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -9000000
2022-Dec-23 17:23:04.878821, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -14000000
2022-Dec-23 17:23:04.880850, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -18000000
2022-Dec-23 17:23:04.882812, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -15000000
2022-Dec-23 17:23:04.885803, CUSIP: 91282CFY2, PV01: 0.061700, Quantity: -17000000
2022-Dec-23 17:23:04.887798, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: -1000000
2022-Dec-23 17:23:04.890791, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: 1000000
2022-Dec-23 17:23:04.892786, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: -2000000
2022-Dec-23 17:23:04.895776, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: -6000000
2022-Dec-23 17:23:04.897774, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: -1000000
2022-Dec-23 17:23:04.899767, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: 3000000
2022-Dec-23 17:23:04.902760, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: 6000000
2022-Dec-23 17:23:04.904754, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: 8000000
2022-Dec-23 17:23:04.907746, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: 7000000
2022-Dec-23 17:23:04.910738, CUSIP: 91282CFV8, PV01: 0.086200, Quantity: 5000000
2022-Dec-23 17:23:04.912731, CUSIP: 912810TM0, PV01: 0.144200, Quantity: 3000000
2022-Dec-23 17:23:04.915723, CUSIP: 912810TM0, PV01: 0.144200, Quantity: 7000000
2022-Dec-23 17:23:04.918715, CUSIP: 912810TM0, PV01: 0.144200, Quantity: 12000000
2022-Dec-23 17:23:04.922706, CUSIP: 912810TM0, PV01: 0.144200, Quantity: 8000000
2022-Dec-23 17:23:04.924700, CUSIP: 912810TM0, PV01: 0.144200, Quantity: 5000000
2022-Dec-23 17:23:04.927691, CUSIP: 912810TM0, PV01: 0.144200, Quantity: 7000000
2022-Dec-23 17:23:04.930683, CUSIP: 912810TM0, PV01: 0.144200, Quantity: 6000000
2022-Dec-23 17:23:04.932677, CUSIP: 912810TM0, PV01: 0.144200, Quantity: 4000000
2022-Dec-23 17:23:04.935670, CUSIP: 912810TM0, PV01: 0.144200, Quantity: 1000000
2022-Dec-23 17:23:04.937665, CUSIP: 912810TM0, PV01: 0.144200, Quantity: -3000000
2022-Dec-23 17:23:04.940656, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -5000000
2022-Dec-23 17:23:04.942653, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -9000000
2022-Dec-23 17:23:04.945645, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -12000000
2022-Dec-23 17:23:04.947640, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -10000000
2022-Dec-23 17:23:04.950629, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -11000000
2022-Dec-23 17:23:04.953621, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -13000000
2022-Dec-23 17:23:04.955618, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -16000000
2022-Dec-23 17:23:04.958609, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -20000000
2022-Dec-23 17:23:04.960604, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -15000000
2022-Dec-23 17:23:04.963594, CUSIP: 912810TL2, PV01: 0.199200, Quantity: -11000000
